KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
52390090,2,52391000,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52390249,2,52390258,,9,6,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52390258,1,,52390249;52390259,14,7,7,0,0,0,26,14,12,19,10,9,26,14,12,26,14,12,7,4,3,2,1,1,0,0,0,0,0,0,1,1,0,11,11,13,5,1,0,0,0,0,6,6,0,0,6,4,3,1
52390259,2,52390258,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52390268,2,52390278,,13,11,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52390278,1,,52390268,248,122,126,20,13,7,241,120,121,109,59,50,233,116,117,231,115,116,132,61,71,72,27,45,31,10,21,4,2,2,3,3,0,138,137,77,45,12,8,2,0,1,67,64,3,4,93,5,51,28
52390288,0,,,71,37,34,18,11,7,53,26,27,30,16,14,53,26,27,52,25,27,23,10,13,5,3,2,0,0,0,0,0,0,0,0,0,32,32,11,10,7,1,3,0,0,21,19,2,5,15,0,5,8
52390298,0,,,622,313,309,85,51,34,537,262,275,345,188,157,525,255,270,519,254,265,192,74,118,106,36,70,37,8,29,2,0,2,1,0,1,351,351,194,90,33,25,5,4,0,153,148,5,27,152,19,84,32
52390299,0,,,80,36,44,13,8,5,67,28,39,36,13,23,66,27,39,66,27,39,31,15,16,20,11,9,7,5,2,0,0,0,0,0,0,47,47,27,12,5,1,2,0,0,20,19,1,3,22,0,13,7
52390312,0,,,19,14,5,0,0,0,19,14,5,11,9,2,18,14,4,18,14,4,8,5,3,4,3,1,0,0,0,0,0,0,0,0,0,15,15,13,0,2,0,0,0,0,2,2,0,0,8,1,7,0
52390313,0,,,161,84,77,7,0,7,154,84,70,78,49,29,151,82,69,150,81,69,76,35,41,43,15,28,19,5,14,0,0,0,5,3,2,94,94,48,30,12,3,1,0,0,45,43,2,2,58,0,29,15
52390314,0,,,142,67,75,23,15,8,119,52,67,69,30,39,114,49,65,114,49,65,50,22,28,24,8,16,8,4,4,1,0,1,2,0,2,67,67,24,23,12,4,4,0,0,43,43,0,6,34,3,13,13
52390315,0,,,24,12,12,2,1,1,22,11,11,7,3,4,21,11,10,21,11,10,15,8,7,7,4,3,2,1,1,0,0,0,0,0,0,13,13,5,6,1,1,0,0,0,8,7,1,0,10,0,4,4
52390321,0,,,26,12,14,0,0,0,26,12,14,9,4,5,26,12,14,26,12,14,17,8,9,6,2,4,3,1,2,0,0,0,0,0,0,15,15,6,8,0,1,0,0,0,9,8,1,0,11,0,4,5
52390322,0,,,211,101,110,10,2,8,201,99,102,94,49,45,200,98,102,200,98,102,107,50,57,47,14,33,14,2,12,1,0,1,0,0,0,120,120,51,54,8,7,0,0,0,68,62,6,3,78,2,31,30
52390323,0,,,234,123,111,20,11,9,214,112,102,107,58,49,208,108,100,207,107,100,107,54,53,54,27,27,14,7,7,1,0,1,0,0,0,138,138,74,43,11,9,1,0,0,63,60,3,3,81,4,47,22
52390324,1,,52390334,452,263,189,32,21,11,425,245,180,249,162,87,413,238,175,412,237,175,176,83,93,72,23,49,15,4,11,3,2,1,41,41,0,275,234,126,70,24,14,2,1,0,111,103,8,10,129,19,62,42
52390325,0,,,323,162,161,28,15,13,295,147,148,130,75,55,288,144,144,286,143,143,165,72,93,76,28,48,24,6,18,2,0,2,6,6,0,192,192,103,65,11,9,3,1,0,88,86,2,8,124,3,69,38
52390330,0,,,29,15,14,0,0,0,29,15,14,13,7,6,29,15,14,29,15,14,16,8,8,9,4,5,2,0,2,0,0,0,1,1,0,18,18,8,9,1,0,0,0,0,10,10,0,0,12,1,6,5
52390331,0,,,108,54,54,4,3,1,104,51,53,50,23,27,101,50,51,101,50,51,54,28,26,29,11,18,5,0,5,1,0,1,1,0,1,64,64,31,25,6,1,1,0,0,33,33,0,2,39,4,16,16
52390332,0,,,16,9,7,0,0,0,16,9,7,3,2,1,16,9,7,16,9,7,13,7,6,7,4,3,2,1,1,2,1,1,0,0,0,9,9,3,5,1,0,0,0,0,5,5,0,0,8,0,3,2
52390333,0,,,193,128,65,0,0,0,193,128,65,148,102,46,193,128,65,193,128,65,45,26,19,15,10,5,2,1,1,0,0,0,0,0,0,31,28,23,5,0,0,0,0,0,5,4,1,0,6,9,3,2
52390334,2,52390324,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52390335,1,,52390380,264,187,77,13,3,10,256,187,69,231,174,57,95,62,33,61,38,23,25,13,12,7,4,3,1,0,1,0,0,0,4,4,0,43,39,24,12,1,2,2,0,1,18,17,1,4,17,2,8,6
52390380,2,52390335,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52391000,1,,52390090,335,164,171,14,7,7,325,159,166,162,86,76,318,156,162,313,153,160,163,73,90,95,42,53,33,9,24,2,0,2,7,1,6,167,167,73,52,25,12,4,2,1,96,71,25,3,112,8,37,26
52391001,0,,,268,132,136,25,11,14,243,121,122,132,65,67,231,117,114,229,116,113,111,56,55,54,27,27,13,7,6,2,1,1,1,1,0,104,104,19,44,18,11,10,1,1,84,70,14,2,69,1,11,27
52391010,0,,,23,11,12,1,0,1,22,11,11,13,6,7,21,11,10,21,11,10,9,5,4,4,3,1,2,2,0,0,0,0,0,0,0,8,8,2,3,1,0,1,0,1,6,3,3,1,5,0,1,1
52391011,0,,,341,163,178,43,19,24,298,144,154,166,86,80,291,140,151,286,140,146,132,58,74,58,24,34,14,5,9,2,0,2,1,1,0,149,149,51,49,23,15,5,4,2,97,78,19,11,88,2,30,25
52391012,0,,,31,16,15,3,1,2,28,15,13,17,9,8,28,15,13,28,15,13,11,6,5,3,2,1,1,0,1,0,0,0,2,1,1,14,14,7,3,2,0,1,0,1,7,5,2,0,6,2,2,0
52391013,0,,,30,14,16,2,0,2,28,14,14,23,12,11,28,14,14,28,14,14,5,2,3,1,1,0,0,0,0,0,0,0,15,5,10,25,25,22,2,0,1,0,0,0,3,3,0,0,4,10,3,1
52391020,0,,,100,50,50,8,5,3,92,45,47,34,17,17,92,45,47,92,45,47,58,28,30,36,15,21,12,5,7,1,0,1,0,0,0,43,43,14,13,9,4,2,0,1,29,19,10,2,38,0,10,7
