KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,総数,農林漁業就業者世帯,農林漁業・非農林漁業就業者混合世帯,非農林漁業就業者世帯,非就業者世帯,分類不能の世帯
23101,1,名古屋市千種区,,0,,,86205,38,53,49242,34947,1925
231010010,3,名古屋市千種区,青柳町,0,,,471,-,-,268,186,17
23101001005,4,名古屋市千種区,青柳町五丁目,0,,,66,-,-,40,25,1
23101001006,4,名古屋市千種区,青柳町六丁目,0,,,216,-,-,116,88,12
23101001007,4,名古屋市千種区,青柳町七丁目,0,,,189,-,-,112,73,4
231010020,3,名古屋市千種区,赤坂町,0,,,982,-,1,659,308,14
23101002001,4,名古屋市千種区,赤坂町一丁目,0,,,311,-,1,209,98,3
23101002002,4,名古屋市千種区,赤坂町二丁目,0,,,138,-,-,97,38,3
23101002003,4,名古屋市千種区,赤坂町三丁目,0,,,119,-,-,80,37,2
23101002004,4,名古屋市千種区,赤坂町四丁目,0,,,194,-,-,126,65,3
23101002005,4,名古屋市千種区,赤坂町五丁目,0,,,117,-,-,75,42,-
23101002006,4,名古屋市千種区,赤坂町六丁目,0,,,90,-,-,63,24,3
23101002007,4,名古屋市千種区,赤坂町七丁目,0,,,13,-,-,9,4,-
231010030,3,名古屋市千種区,揚羽町,0,,,529,-,2,328,193,6
23101003001,4,名古屋市千種区,揚羽町一丁目,0,,,359,-,2,209,144,4
23101003002,4,名古屋市千種区,揚羽町二丁目,0,,,170,-,-,119,49,2
231010040,3,名古屋市千種区,朝岡町,0,,,768,1,-,394,362,11
23101004001,4,名古屋市千種区,朝岡町一丁目,0,,,285,1,-,133,147,4
23101004002,4,名古屋市千種区,朝岡町二丁目,0,,,145,-,-,61,83,1
23101004003,4,名古屋市千種区,朝岡町三丁目,0,,,338,-,-,200,132,6
231010050,3,名古屋市千種区,池上町,0,,,353,1,-,204,139,9
23101005001,4,名古屋市千種区,池上町一丁目,0,,,132,-,-,71,61,-
23101005002,4,名古屋市千種区,池上町二丁目,0,,,179,1,-,112,59,7
23101005003,4,名古屋市千種区,池上町三丁目,0,,,42,-,-,21,19,2
231010060,2,名古屋市千種区,池下町,0,,,440,-,-,242,192,6
231010070,3,名古屋市千種区,池下,0,,,649,-,-,283,356,10
23101007091,4,名古屋市千種区,池下一丁目,0,,,607,-,-,263,336,8
23101007092,4,名古屋市千種区,池下二丁目,0,,,42,-,-,20,20,2
231010090,3,名古屋市千種区,池園町,0,,,369,1,-,217,145,6
23101009001,4,名古屋市千種区,池園町一丁目,0,,,114,-,-,73,40,1
23101009002,4,名古屋市千種区,池園町二丁目,0,,,255,1,-,144,105,5
231010100,3,名古屋市千種区,猪高町大字猪子石,0,,,93,-,-,55,37,1
23101010010,4,名古屋市千種区,猪高町大字猪子石字猪々道,0,,,65,-,-,38,27,-
23101010020,4,名古屋市千種区,猪高町大字猪子石字山之端,0,,,28,-,-,17,10,1
231010110,3,名古屋市千種区,稲舟通,0,,,199,-,-,107,89,3
23101011001,4,名古屋市千種区,稲舟通一丁目,0,,,152,-,-,77,74,1
23101011002,4,名古屋市千種区,稲舟通二丁目,0,,,47,-,-,30,15,2
231010120,2,名古屋市千種区,井上町,0,,,198,-,-,92,105,1
231010130,3,名古屋市千種区,今池,0,,,6788,3,1,3433,3228,123
23101013091,4,名古屋市千種区,今池一丁目,0,,,1117,2,-,612,492,11
23101013092,4,名古屋市千種区,今池二丁目,0,,,947,-,1,468,461,17
23101013093,4,名古屋市千種区,今池三丁目,0,,,1561,-,-,758,774,29
23101013094,4,名古屋市千種区,今池四丁目,0,,,859,-,-,474,357,28
23101013095,4,名古屋市千種区,今池五丁目,0,,,2304,1,-,1121,1144,38
231010180,2,名古屋市千種区,今池南,0,,,1377,1,-,746,598,32
231010190,3,名古屋市千種区,上野,0,,,873,1,-,530,320,22
23101019091,4,名古屋市千種区,上野一丁目,0,,,199,1,-,123,71,4
23101019092,4,名古屋市千種区,上野二丁目,0,,,212,-,-,124,82,6
23101019093,4,名古屋市千種区,上野三丁目,0,,,462,-,-,283,167,12
231010220,3,名古屋市千種区,内山,0,,,3430,-,2,1782,1546,100
23101022091,4,名古屋市千種区,内山一丁目,0,,,1069,-,1,628,381,59
23101022092,4,名古屋市千種区,内山二丁目,0,,,834,-,-,457,363,14
23101022093,4,名古屋市千種区,内山三丁目,0,,,1527,-,1,697,802,27
231010250,3,名古屋市千種区,大久手町,0,,,287,-,1,158,124,4
23101025005,4,名古屋市千種区,大久手町五丁目,0,,,86,-,-,41,42,3
23101025006,4,名古屋市千種区,大久手町六丁目,0,,,118,-,-,69,49,-
23101025007,4,名古屋市千種区,大久手町七丁目,0,,,83,-,1,48,33,1
231010260,3,名古屋市千種区,大島町,0,,,604,-,-,381,212,11
23101026001,4,名古屋市千種区,大島町一丁目,0,,,197,-,-,117,77,3
23101026002,4,名古屋市千種区,大島町二丁目,0,,,209,-,-,136,70,3
23101026003,4,名古屋市千種区,大島町三丁目,0,,,103,-,-,68,33,2
23101026004,4,名古屋市千種区,大島町四丁目,0,,,95,-,-,60,32,3
231010270,3,名古屋市千種区,丘上町,0,,,435,-,-,292,132,11
23101027001,4,名古屋市千種区,丘上町一丁目,0,,,199,-,-,144,51,4
23101027002,4,名古屋市千種区,丘上町二丁目,0,,,236,-,-,148,81,7
231010280,3,名古屋市千種区,御棚町,0,,,360,-,1,207,149,3
23101028001,4,名古屋市千種区,御棚町一丁目,0,,,77,-,-,41,36,-
23101028002,4,名古屋市千種区,御棚町二丁目,0,,,138,-,-,78,59,1
23101028003,4,名古屋市千種区,御棚町三丁目,0,,,145,-,1,88,54,2
231010290,3,名古屋市千種区,鏡池通,0,,,239,-,-,127,111,1
23101029001,4,名古屋市千種区,鏡池通一丁目,0,,,41,-,-,26,15,-
23101029002,4,名古屋市千種区,鏡池通二丁目,0,,,20,-,-,10,10,-
23101029003,4,名古屋市千種区,鏡池通三丁目,0,,,70,-,-,38,32,-
23101029004,4,名古屋市千種区,鏡池通四丁目,0,,,108,-,-,53,54,1
231010300,3,名古屋市千種区,覚王山通,0,,,860,-,-,353,485,22
23101030007,4,名古屋市千種区,覚王山通七丁目,0,,,176,-,-,69,100,7
23101030008,4,名古屋市千種区,覚王山通八丁目,0,,,480,-,-,169,304,7
23101030009,4,名古屋市千種区,覚王山通九丁目,0,,,204,-,-,115,81,8
231010310,3,名古屋市千種区,霞ケ丘,0,,,639,-,-,303,321,15
23101031091,4,名古屋市千種区,霞ケ丘一丁目,0,,,162,-,-,93,67,2
23101031092,4,名古屋市千種区,霞ケ丘二丁目,0,,,477,-,-,210,254,13
231010320,3,名古屋市千種区,香流橋,0,,,490,-,-,347,129,14
23101032091,4,名古屋市千種区,香流橋一丁目,0,,,174,-,-,123,47,4
23101032092,4,名古屋市千種区,香流橋二丁目,0,,,316,-,-,224,82,10
231010340,3,名古屋市千種区,鹿子町,0,,,975,2,1,634,321,17
23101034001,4,名古屋市千種区,鹿子町一丁目,0,,,94,-,-,60,34,-
23101034002,4,名古屋市千種区,鹿子町二丁目,0,,,64,-,-,40,21,3
23101034003,4,名古屋市千種区,鹿子町三丁目,0,,,166,-,-,98,61,7
23101034004,4,名古屋市千種区,鹿子町四丁目,0,,,130,-,1,86,43,-
23101034005,4,名古屋市千種区,鹿子町五丁目,0,,,261,1,-,179,81,-
23101034006,4,名古屋市千種区,鹿子町六丁目,0,,,137,-,-,88,46,3
23101034007,4,名古屋市千種区,鹿子町七丁目,0,,,123,1,-,83,35,4
231010350,2,名古屋市千種区,鹿子殿,0,,,605,-,1,413,173,18
231010360,3,名古屋市千種区,萱場,0,,,837,-,2,507,307,21
23101036091,4,名古屋市千種区,萱場一丁目,0,,,128,-,-,81,44,3
23101036092,4,名古屋市千種区,萱場二丁目,0,,,709,-,2,426,263,18
231010380,3,名古屋市千種区,唐山町,0,,,960,1,-,595,349,15
23101038001,4,名古屋市千種区,唐山町一丁目,0,,,455,1,-,263,183,8
23101038002,4,名古屋市千種区,唐山町二丁目,0,,,313,-,-,211,99,3
23101038003,4,名古屋市千種区,唐山町三丁目,0,,,192,-,-,121,67,4
231010390,3,名古屋市千種区,川崎町,0,,,196,-,1,118,74,3
